일자,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"2023/06/30","46600","350","0.76","4118","11.32","5063","9.20","51911","0.90","3320","7.12"
"2023/06/29","46250","-1400","-2.94","4118","11.23","5063","9.14","51911","0.89","3320","7.18"
"2023/06/28","47650","50","0.11","4118","11.57","5063","9.41","51911","0.92","3320","6.97"
"2023/06/27","47600","250","0.53","4118","11.56","5063","9.40","51911","0.92","3320","6.97"
"2023/06/26","47350","-50","-0.11","4118","11.50","5063","9.35","51911","0.91","3320","7.01"
"2023/06/23","47400","50","0.11","4118","11.51","5063","9.36","51911","0.91","3320","7.00"
"2023/06/22","47350","350","0.74","4118","11.50","5063","9.35","51911","0.91","3320","7.01"
"2023/06/21","47000","0","0.00","4118","11.41","5063","9.28","51911","0.91","3320","7.06"
"2023/06/20","47000","-50","-0.11","4118","11.41","5063","9.28","51911","0.91","3320","7.06"
"2023/06/19","47050","-150","-0.32","4118","11.43","5063","9.29","51911","0.91","3320","7.06"
"2023/06/16","47200","-900","-1.87","4118","11.46","5063","9.32","51911","0.91","3320","7.03"
"2023/06/15","48100","-400","-0.82","4118","11.68","5063","9.50","51911","0.93","3320","6.90"
"2023/06/14","48500","-350","-0.72","4118","11.78","5063","9.58","51911","0.93","3320","6.85"
"2023/06/13","48850","-300","-0.61","4118","11.86","5063","9.65","51911","0.94","3320","6.80"
"2023/06/12","49150","0","0.00","4118","11.94","5063","9.71","51911","0.95","3320","6.75"
"2023/06/09","49150","-350","-0.71","4118","11.94","5063","9.71","51911","0.95","3320","6.75"
"2023/06/08","49500","-100","-0.20","4118","12.02","5063","9.78","51911","0.95","3320","6.71"
"2023/06/07","49600","150","0.30","4118","12.04","5063","9.80","51911","0.96","3320","6.69"
"2023/06/05","49450","400","0.82","4118","12.01","5063","9.77","51911","0.95","3320","6.71"
"2023/06/02","49050","-200","-0.41","4118","11.91","5063","9.69","51911","0.94","3320","6.77"
"2023/06/01","49250","-450","-0.91","4118","11.96","5027","9.80","51911","0.95","3320","6.74"
"2023/05/31","49700","-300","-0.60","4118","12.07","5031","9.88","51911","0.96","3320","6.68"
"2023/05/30","50000","400","0.81","4118","12.14","5031","9.94","51911","0.96","3320","6.64"
"2023/05/26","49600","0","0.00","4118","12.04","5031","9.86","51911","0.96","3320","6.69"
"2023/05/25","49600","-300","-0.60","4118","12.04","5031","9.86","51911","0.96","3320","6.69"
"2023/05/24","49900","0","0.00","4118","12.12","5031","9.92","51911","0.96","3320","6.65"
"2023/05/23","49900","350","0.71","4118","12.12","5031","9.92","51911","0.96","3320","6.65"
"2023/05/22","49550","-350","-0.70","4118","12.03","5031","9.85","51911","0.95","3320","6.70"
"2023/05/19","49900","100","0.20","4118","12.12","5031","9.92","51911","0.96","3320","6.65"
"2023/05/18","49800","600","1.22","4118","12.09","5031","9.90","51911","0.96","3320","6.67"
"2023/05/17","49200","-400","-0.81","4118","11.95","5031","9.78","51911","0.95","3320","6.75"
"2023/05/16","49600","-800","-1.59","4118","12.04","5031","9.86","51911","0.96","3320","6.69"
"2023/05/15","50400","100","0.20","4118","12.24","5031","10.02","51911","0.97","3320","6.59"
"2023/05/12","50300","-200","-0.40","4118","12.21","5031","10.00","51911","0.97","3320","6.60"
"2023/05/11","50500","750","1.51","4118","12.26","5016","10.07","51911","0.97","3320","6.57"
"2023/05/10","49750","1150","2.37","4118","12.08","5016","9.92","51911","0.96","3320","6.67"
"2023/05/09","48600","50","0.10","4118","11.80","5009","9.70","51911","0.94","3320","6.83"
"2023/05/08","48550","450","0.94","4118","11.79","5009","9.69","51911","0.94","3320","6.84"
"2023/05/04","48100","200","0.42","4118","11.68","5009","9.60","51911","0.93","3320","6.90"
"2023/05/03","47900","-250","-0.52","4118","11.63","5009","9.56","51911","0.92","3320","6.93"
"2023/05/02","48150","450","0.94","4118","11.69","4980","9.67","51911","0.93","3320","6.90"
"2023/04/28","47700","350","0.74","7191","6.63","4980","9.58","53218","0.90","3295","6.91"
"2023/04/27","47350","-150","-0.32","7191","6.58","4980","9.51","53218","0.89","3295","6.96"
"2023/04/26","47500","-250","-0.52","7191","6.61","4949","9.60","53218","0.89","3295","6.94"
"2023/04/25","47750","50","0.10","7191","6.64","4949","9.65","53218","0.90","3295","6.90"
"2023/04/24","47700","-900","-1.85","7191","6.63","4949","9.64","53218","0.90","3295","6.91"
"2023/04/21","48600","50","0.10","7191","6.76","4949","9.82","53218","0.91","3295","6.78"
"2023/04/20","48550","0","0.00","7191","6.75","4938","9.83","53218","0.91","3295","6.79"
"2023/04/19","48550","-200","-0.41","7191","6.75","4938","9.83","53218","0.91","3295","6.79"
"2023/04/18","48750","600","1.25","7191","6.78","4932","9.88","53218","0.92","3295","6.76"
"2023/04/17","48150","-150","-0.31","7191","6.70","4932","9.76","53218","0.90","3295","6.84"
"2023/04/14","48300","50","0.10","7191","6.72","4977","9.70","53218","0.91","3295","6.82"
"2023/04/13","48250","450","0.94","7191","6.71","4979","9.69","53218","0.91","3295","6.83"
"2023/04/12","47800","50","0.10","7191","6.65","4979","9.60","53218","0.90","3295","6.89"
"2023/04/11","47750","100","0.21","7191","6.64","4979","9.59","53218","0.90","3295","6.90"
"2023/04/10","47650","50","0.11","7191","6.63","4981","9.57","53218","0.90","3295","6.92"
"2023/04/07","47600","-250","-0.52","7191","6.62","4981","9.56","53218","0.89","3295","6.92"
"2023/04/06","47850","-100","-0.21","7191","6.65","4975","9.62","53218","0.90","3295","6.89"
"2023/04/05","47950","250","0.52","7191","6.67","4975","9.64","53218","0.90","3295","6.87"
"2023/04/04","47700","150","0.32","7191","6.63","4975","9.59","53218","0.90","3295","6.91"
"2023/04/03","47550","-750","-1.55","7191","6.61","4944","9.62","53218","0.89","3295","6.93"
"2023/03/31","48300","500","1.05","7191","6.72","4944","9.77","53218","0.91","3295","6.82"
"2023/03/30","47800","-1050","-2.15","7191","6.65","4944","9.67","53218","0.90","3295","6.89"
"2023/03/29","48850","350","0.72","7191","6.79","4944","9.88","53218","0.92","3295","6.75"
"2023/03/28","48500","100","0.21","7191","6.74","4944","9.81","53218","0.91","3295","6.79"
"2023/03/27","48400","50","0.10","7191","6.73","4944","9.79","53218","0.91","3295","6.81"
"2023/03/24","48350","550","1.15","7191","6.72","4977","9.71","53218","0.91","3295","6.81"
"2023/03/23","47800","-800","-1.65","7191","6.65","4977","9.60","53218","0.90","3295","6.89"
"2023/03/22","48600","-200","-0.41","7191","6.76","4977","9.76","53218","0.91","3295","6.78"
"2023/03/21","48800","1150","2.41","7191","6.79","4977","9.80","53218","0.92","3295","6.75"
"2023/03/20","47650","800","1.71","7191","6.63","4977","9.57","53218","0.90","3295","6.92"
"2023/03/17","46850","-350","-0.74","7191","6.52","4977","9.41","53218","0.88","3295","7.03"
"2023/03/16","47200","-400","-0.84","7191","6.56","4974","9.49","53218","0.89","3295","6.98"
"2023/03/15","47600","650","1.38","7191","6.62","4974","9.57","53218","0.89","3295","6.92"
"2023/03/14","46950","450","0.97","7191","6.53","4974","9.44","53218","0.88","3295","7.02"
"2023/03/13","46500","-100","-0.21","7191","6.47","4974","9.35","53218","0.87","3295","7.09"
"2023/03/10","46600","-900","-1.89","7191","6.48","4974","9.37","53218","0.88","3295","7.07"
"2023/03/09","47500","800","1.71","7191","6.61","4985","9.53","53218","0.89","3295","6.94"
"2023/03/08","46700","-750","-1.58","7191","6.49","4974","9.39","53218","0.88","3295","7.06"
"2023/03/07","47450","1200","2.59","7191","6.60","4974","9.54","53218","0.89","3295","6.94"
"2023/03/06","46250","650","1.43","7191","6.43","4974","9.30","53218","0.87","3295","7.12"
"2023/03/03","45600","550","1.22","7191","6.34","4974","9.17","53218","0.86","3295","7.23"
"2023/03/02","45050","-100","-0.22","7191","6.26","4942","9.12","53218","0.85","3295","7.31"
"2023/02/28","45150","200","0.44","7191","6.28","4942","9.14","53218","0.85","3295","7.30"
"2023/02/27","44950","-150","-0.33","7191","6.25","4942","9.10","53218","0.84","3295","7.33"
"2023/02/24","45100","200","0.45","7191","6.27","4942","9.13","53218","0.85","3295","7.31"
"2023/02/23","44900","-200","-0.44","7191","6.24","4942","9.09","53218","0.84","3295","7.34"
"2023/02/22","45100","50","0.11","7191","6.27","4942","9.13","53218","0.85","3295","7.31"
"2023/02/21","45050","350","0.78","7191","6.26","4942","9.12","53218","0.85","3295","7.31"
"2023/02/20","44700","300","0.68","7191","6.22","4942","9.05","53218","0.84","3295","7.37"
"2023/02/17","44400","-200","-0.45","7191","6.17","4942","8.98","53218","0.83","3295","7.42"
"2023/02/16","44600","-2000","-4.29","7191","6.20","4942","9.03","53218","0.84","3295","7.39"
"2023/02/15","46600","-1100","-2.31","7191","6.48","4942","9.43","53218","0.88","3295","7.07"
"2023/02/14","47700","0","0.00","7191","6.63","4942","9.65","53218","0.90","3295","6.91"
"2023/02/13","47700","700","1.49","7191","6.63","4942","9.65","53218","0.90","3295","6.91"
"2023/02/10","47000","300","0.64","7191","6.54","4942","9.51","53218","0.88","3295","7.01"
"2023/02/09","46700","0","0.00","7191","6.49","5138","9.09","53218","0.88","3295","7.06"
"2023/02/08","46700","0","0.00","7191","6.49","5138","9.09","53218","0.88","3295","7.06"
"2023/02/07","46700","450","0.97","7191","6.49","5138","9.09","53218","0.88","3295","7.06"
"2023/02/06","46250","-100","-0.22","7191","6.43","5138","9.00","53218","0.87","3295","7.12"
"2023/02/03","46350","50","0.11","7191","6.45","5138","9.02","53218","0.87","3295","7.11"
"2023/02/02","46300","150","0.33","7191","6.44","5138","9.01","53218","0.87","3295","7.12"
"2023/02/01","46150","-450","-0.97","7191","6.42","5097","9.05","53218","0.87","3295","7.14"
"2023/01/31","46600","-450","-0.96","7191","6.48","5096","9.14","53218","0.88","3295","7.07"
"2023/01/30","47050","-800","-1.67","7191","6.54","5096","9.23","53218","0.88","3295","7.00"
"2023/01/27","47850","1500","3.24","7191","6.65","5096","9.39","53218","0.90","3295","6.89"
"2023/01/26","46350","250","0.54","7191","6.45","5096","9.09","53218","0.87","3295","7.11"
"2023/01/25","46100","-800","-1.71","7191","6.41","5096","9.05","53218","0.87","3295","7.15"
"2023/01/20","46900","-550","-1.16","7191","6.52","5157","9.09","53218","0.88","3295","7.03"
"2023/01/19","47450","200","0.42","7191","6.60","5153","9.21","53218","0.89","3295","6.94"
"2023/01/18","47250","400","0.85","7191","6.57","5153","9.17","53218","0.89","3295","6.97"
"2023/01/17","46850","250","0.54","7191","6.52","5169","9.06","53218","0.88","3295","7.03"
"2023/01/16","46600","700","1.53","7191","6.48","5169","9.01","53218","0.88","3295","7.07"
"2023/01/13","45900","0","0.00","7191","6.38","5169","8.88","53218","0.86","3295","7.18"
"2023/01/12","45900","-600","-1.29","7191","6.38","5236","8.77","53218","0.86","3295","7.18"
"2023/01/11","46500","-400","-0.85","7191","6.47","5223","8.90","53218","0.87","3295","7.09"
"2023/01/10","46900","-600","-1.26","7191","6.52","5240","8.95","53218","0.88","3295","7.03"
"2023/01/09","47500","-100","-0.21","7191","6.61","5303","8.96","53218","0.89","3295","6.94"
"2023/01/06","47600","500","1.06","7191","6.62","5303","8.98","53218","0.89","3295","6.92"
"2023/01/05","47100","-250","-0.53","7191","6.55","5303","8.88","53218","0.89","3295","7.00"
"2023/01/04","47350","400","0.85","7191","6.58","5244","9.03","53218","0.89","3295","6.96"
"2023/01/03","46950","-300","-0.63","7191","6.53","5244","8.95","53218","0.88","3295","7.02"
"2023/01/02","47250","-150","-0.32","7191","6.57","5215","9.06","53218","0.89","3295","6.97"
"2022/12/29","47400","-800","-1.66","7191","6.59","5215","9.09","53218","0.89","3295","6.95"
"2022/12/28","48200","-1100","-2.23","7191","6.70","5215","9.24","53218","0.91","3295","6.84"
"2022/12/27","49300","50","0.10","7191","6.86","5215","9.45","53218","0.93","3295","6.68"
"2022/12/26","49250","250","0.51","7191","6.85","5215","9.44","53218","0.93","3295","6.69"
"2022/12/23","49000","250","0.51","7191","6.81","5215","9.40","53218","0.92","3295","6.72"
"2022/12/22","48750","150","0.31","7191","6.78","5215","9.35","53218","0.92","3295","6.76"
"2022/12/21","48600","100","0.21","7191","6.76","5215","9.32","53218","0.91","3295","6.78"
"2022/12/20","48500","-250","-0.51","7191","6.74","5215","9.30","53218","0.91","3295","6.79"
"2022/12/19","48750","-50","-0.10","7191","6.78","5215","9.35","53218","0.92","3295","6.76"
"2022/12/16","48800","-500","-1.01","7191","6.79","5215","9.36","53218","0.92","3295","6.75"
"2022/12/15","49300","-500","-1.00","7191","6.86","5215","9.45","53218","0.93","3295","6.68"
"2022/12/14","49800","-50","-0.10","7191","6.93","5215","9.55","53218","0.94","3295","6.62"
"2022/12/13","49850","-50","-0.10","7191","6.93","5215","9.56","53218","0.94","3295","6.61"
"2022/12/12","49900","-100","-0.20","7191","6.94","5215","9.57","53218","0.94","3295","6.60"
"2022/12/09","50000","-200","-0.40","7191","6.95","5215","9.59","53218","0.94","3295","6.59"
"2022/12/08","50200","0","0.00","7191","6.98","5215","9.63","53218","0.94","3295","6.56"
"2022/12/07","50200","-200","-0.40","7191","6.98","5215","9.63","53218","0.94","3295","6.56"
"2022/12/06","50400","0","0.00","7191","7.01","5215","9.66","53218","0.95","3295","6.54"
"2022/12/05","50400","100","0.20","7191","7.01","5215","9.66","53218","0.95","3295","6.54"
"2022/12/02","50300","-200","-0.40","7191","6.99","5215","9.65","53218","0.95","3295","6.55"
"2022/12/01","50500","500","1.00","7191","7.02","5122","9.86","53218","0.95","3295","6.52"
"2022/11/30","50000","200","0.40","7191","6.95","5122","9.76","53218","0.94","3295","6.59"
"2022/11/29","49800","-100","-0.20","7191","6.93","5122","9.72","53218","0.94","3295","6.62"
"2022/11/28","49900","-100","-0.20","7191","6.94","5122","9.74","53218","0.94","3295","6.60"
"2022/11/25","50000","0","0.00","7191","6.95","5122","9.76","53218","0.94","3295","6.59"
"2022/11/24","50000","0","0.00","7191","6.95","5122","9.76","53218","0.94","3295","6.59"
"2022/11/23","50000","250","0.50","7191","6.95","5122","9.76","53218","0.94","3295","6.59"
"2022/11/22","49750","0","0.00","7191","6.92","5126","9.71","53218","0.93","3295","6.62"
"2022/11/21","49750","200","0.40","7191","6.92","5126","9.71","53218","0.93","3295","6.62"
"2022/11/18","49550","-300","-0.60","7191","6.89","5126","9.67","53218","0.93","3295","6.65"
"2022/11/17","49850","300","0.61","7191","6.93","5126","9.73","53218","0.94","3295","6.61"
"2022/11/16","49550","-550","-1.10","7191","6.89","5126","9.67","53218","0.93","3295","6.65"
"2022/11/15","50100","0","0.00","7191","6.97","5126","9.77","53218","0.94","3295","6.58"
"2022/11/14","50100","-400","-0.79","7191","6.97","5126","9.77","53218","0.94","3295","6.58"
"2022/11/11","50500","100","0.20","7191","7.02","5183","9.74","53218","0.95","3295","6.52"
"2022/11/10","50400","-800","-1.56","7191","7.01","5183","9.72","53218","0.95","3295","6.54"
"2022/11/09","51200","700","1.39","7191","7.12","5183","9.88","53218","0.96","3295","6.44"
"2022/11/08","50500","100","0.20","7191","7.02","5183","9.74","53218","0.95","3295","6.52"
"2022/11/07","50400","-200","-0.40","7191","7.01","5183","9.72","53218","0.95","3295","6.54"
"2022/11/04","50600","200","0.40","7191","7.04","5187","9.76","53218","0.95","3295","6.51"
"2022/11/03","50400","100","0.20","7191","7.01","5187","9.72","53218","0.95","3295","6.54"
"2022/11/02","50300","100","0.20","7191","6.99","5187","9.70","53218","0.95","3295","6.55"
"2022/11/01","50200","100","0.20","7191","6.98","5062","9.92","53218","0.94","3295","6.56"
"2022/10/31","50100","-100","-0.20","7191","6.97","5073","9.88","53218","0.94","3295","6.58"
"2022/10/28","50200","-200","-0.40","7191","6.98","5073","9.89","53218","0.94","3295","6.56"
"2022/10/27","50400","1200","2.44","7191","7.01","5073","9.93","53218","0.95","3295","6.54"
"2022/10/26","49200","-350","-0.71","7191","6.84","5115","9.62","53218","0.92","3295","6.70"
"2022/10/25","49550","100","0.20","7191","6.89","5121","9.68","53218","0.93","3295","6.65"
"2022/10/24","49450","-150","-0.30","7191","6.88","5121","9.66","53218","0.93","3295","6.66"
"2022/10/21","49600","50","0.10","7191","6.90","5121","9.69","53218","0.93","3295","6.64"
"2022/10/20","49550","450","0.92","7191","6.89","5121","9.68","53218","0.93","3295","6.65"
"2022/10/19","49100","-1100","-2.19","7191","6.83","5155","9.52","53218","0.92","3295","6.71"
"2022/10/18","50200","1200","2.45","7191","6.98","5155","9.74","53218","0.94","3295","6.56"
"2022/10/17","49000","-700","-1.41","7191","6.81","5155","9.51","53218","0.92","3295","6.72"
"2022/10/14","49700","1150","2.37","7191","6.91","5167","9.62","53218","0.93","3295","6.63"
"2022/10/13","48550","-200","-0.41","7191","6.75","5180","9.37","53218","0.91","3295","6.79"
"2022/10/12","48750","50","0.10","7191","6.78","5180","9.41","53218","0.92","3295","6.76"
"2022/10/11","48700","-1500","-2.99","7191","6.77","5180","9.40","53218","0.92","3295","6.77"
"2022/10/07","50200","-300","-0.59","7191","6.98","5180","9.69","53218","0.94","3295","6.56"
"2022/10/06","50500","-400","-0.79","7191","7.02","5209","9.70","53218","0.95","3295","6.52"
"2022/10/05","50900","0","0.00","7191","7.08","5209","9.77","53218","0.96","3295","6.47"
"2022/10/04","50900","100","0.20","7191","7.08","5195","9.80","53218","0.96","3295","6.47"
"2022/09/30","50800","800","1.60","7191","7.06","5195","9.78","53218","0.95","3295","6.49"
"2022/09/29","50000","-1300","-2.53","7191","6.95","5195","9.63","53218","0.94","3295","6.59"
"2022/09/28","51300","-1200","-2.29","7191","7.13","5195","9.88","53218","0.96","3295","6.42"
"2022/09/27","52500","-1000","-1.87","7191","7.30","5195","10.11","53218","0.99","3295","6.28"
"2022/09/26","53500","800","1.52","7191","7.44","5195","10.30","53218","1.01","3295","6.16"
"2022/09/23","52700","1300","2.53","7191","7.33","5195","10.14","53218","0.99","3295","6.25"
"2022/09/22","51400","-300","-0.58","7191","7.15","5195","9.89","53218","0.97","3295","6.41"
"2022/09/21","51700","-100","-0.19","7191","7.19","5195","9.95","53218","0.97","3295","6.37"
"2022/09/20","51800","400","0.78","7191","7.20","5214","9.94","53218","0.97","3295","6.36"
"2022/09/19","51400","-1000","-1.91","7191","7.15","5214","9.86","53218","0.97","3295","6.41"
"2022/09/16","52400","1200","2.34","7191","7.29","5260","9.96","53218","0.98","3295","6.29"
"2022/09/15","51200","200","0.39","7191","7.12","5260","9.73","53218","0.96","3295","6.44"
"2022/09/14","51000","-800","-1.54","7191","7.09","5260","9.70","53218","0.96","3295","6.46"
"2022/09/13","51800","-100","-0.19","7191","7.20","5260","9.85","53218","0.97","3295","6.36"
"2022/09/08","51900","-100","-0.19","7191","7.22","5260","9.87","53218","0.98","3295","6.35"
"2022/09/07","52000","700","1.36","7191","7.23","5260","9.89","53218","0.98","3295","6.34"
"2022/09/06","51300","-800","-1.54","7191","7.13","5260","9.75","53218","0.96","3295","6.42"
"2022/09/05","52100","-500","-0.95","7191","7.25","5260","9.90","53218","0.98","3295","6.32"
"2022/09/02","52600","200","0.38","7191","7.31","5260","10.00","53218","0.99","3295","6.26"
"2022/09/01","52400","300","0.58","7191","7.29","5183","10.11","53218","0.98","3295","6.29"
"2022/08/31","52100","100","0.19","7191","7.25","5192","10.03","53218","0.98","3295","6.32"
"2022/08/30","52000","700","1.36","7191","7.23","5168","10.06","53218","0.98","3295","6.34"
"2022/08/29","51300","0","0.00","7191","7.13","5168","9.93","53218","0.96","3295","6.42"
"2022/08/26","51300","-1000","-1.91","7191","7.13","5208","9.85","53218","0.96","3295","6.42"
"2022/08/25","52300","1100","2.15","7191","7.27","5208","10.04","53218","0.98","3295","6.30"
"2022/08/24","51200","100","0.20","7191","7.12","5208","9.83","53218","0.96","3295","6.44"
"2022/08/23","51100","-300","-0.58","7191","7.11","5208","9.81","53218","0.96","3295","6.45"
"2022/08/22","51400","400","0.78","7191","7.15","5208","9.87","53218","0.97","3295","6.41"
"2022/08/19","51000","-200","-0.39","7191","7.09","5208","9.79","53218","0.96","3295","6.46"
"2022/08/18","51200","-100","-0.19","7191","7.12","5208","9.83","53218","0.96","3295","6.44"
"2022/08/17","51300","-600","-1.16","7191","7.13","5208","9.85","53218","0.96","3295","6.42"
"2022/08/16","51900","0","0.00","7191","7.22","5208","9.97","53218","0.98","3295","6.35"
"2022/08/12","51900","-700","-1.33","7191","7.22","5169","10.04","53218","0.98","3295","6.35"
"2022/08/11","52600","400","0.77","7191","7.31","5143","10.23","53218","0.99","3295","6.26"
"2022/08/10","52200","-700","-1.32","7191","7.26","5238","9.97","53218","0.98","3295","6.31"
"2022/08/09","52900","0","0.00","7191","7.36","5238","10.10","53218","0.99","3295","6.23"
"2022/08/08","52900","-100","-0.19","7191","7.36","5238","10.10","53218","0.99","3295","6.23"
"2022/08/05","53000","-200","-0.38","7191","7.37","5238","10.12","53218","1.00","3295","6.22"
"2022/08/04","53200","100","0.19","7191","7.40","5238","10.16","53218","1.00","3295","6.19"
"2022/08/03","53100","300","0.57","7191","7.38","5238","10.14","53218","1.00","3295","6.21"
"2022/08/02","52800","-800","-1.49","7191","7.34","5238","10.08","53218","0.99","3295","6.24"
"2022/08/01","53600","0","0.00","7191","7.45","5174","10.36","53218","1.01","3295","6.15"
"2022/07/29","53600","800","1.52","7191","7.45","5174","10.36","53218","1.01","3295","6.15"
"2022/07/28","52800","200","0.38","7191","7.34","5182","10.19","53218","0.99","3295","6.24"
"2022/07/27","52600","200","0.38","7191","7.31","5182","10.15","53218","0.99","3295","6.26"
"2022/07/26","52400","800","1.55","7191","7.29","5192","10.09","53218","0.98","3295","6.29"
"2022/07/25","51600","-200","-0.39","7191","7.18","5192","9.94","53218","0.97","3295","6.39"
"2022/07/22","51800","-300","-0.58","7191","7.20","5192","9.98","53218","0.97","3295","6.36"
"2022/07/21","52100","-1200","-2.25","7191","7.25","5192","10.04","53218","0.98","3295","6.32"
"2022/07/20","53300","-700","-1.30","7191","7.41","5192","10.27","53218","1.00","3295","6.18"
"2022/07/19","54000","-700","-1.28","7191","7.51","5192","10.40","53218","1.01","3295","6.10"
"2022/07/18","54700","1200","2.24","7191","7.61","5189","10.54","53218","1.03","3295","6.02"
"2022/07/15","53500","-1400","-2.55","7191","7.44","5189","10.31","53218","1.01","3295","6.16"
"2022/07/14","54900","-900","-1.61","7191","7.63","5190","10.58","53218","1.03","3295","6.00"
"2022/07/13","55800","800","1.45","7191","7.76","5131","10.88","53218","1.05","3295","5.91"
"2022/07/12","55000","0","0.00","7191","7.65","5125","10.73","53218","1.03","3295","5.99"
"2022/07/11","55000","1000","1.85","7191","7.65","5157","10.67","53218","1.03","3295","5.99"
"2022/07/08","54000","200","0.37","7191","7.51","5157","10.47","53218","1.01","3295","6.10"
"2022/07/07","53800","0","0.00","7191","7.48","5197","10.35","53218","1.01","3295","6.12"
"2022/07/06","53800","-400","-0.74","7191","7.48","5197","10.35","53218","1.01","3295","6.12"
"2022/07/05","54200","600","1.12","7191","7.54","5197","10.43","53218","1.02","3295","6.08"
"2022/07/04","53600","800","1.52","7191","7.45","5197","10.31","53218","1.01","3295","6.15"
"2022/07/01","52800","800","1.54","7191","7.34","5130","10.29","53218","0.99","3295","6.24"